Aristolochia_anguicida	4
Aristolochia_arborea	16
Aristolochia_burelae	4
Aristolochia_californica	16
Aristolochia_cauliflora	4
Aristolochia_esperanzae	4
Aristolochia_gaudichaudi	4
Aristolochia_hookeriana	4
Aristolochia_indica	4
Aristolochia_kerrii	4
Aristolochia_littoralis	4
Aristolochia_maxima_JM011	4
Aristolochia_maxima_SETS37	4
Aristolochia_mollisima	16
Aristolochia_neolongifolia_SETS52	16
Aristolochia_neolongifolia_SETS96	16
Aristolochia_paulistana	4
Aristolochia_peruviana	4
Aristolochia_pilosa	4
Aristolochia_praevenosa	4
Aristolochia_promissa	4
Aristolochia_saccata	16
Aristolochia_serpantaria	16
Aristolochia_sp_JM02	4
Aristolochia_sp_JM04	4
Aristolochia_sp_JM06	4
Aristolochia_tagala	4
Aristolochia_tagala_040521	4
Aristolochia_tagala_SETS48	4
Aristolochia_taliscana	4
Aristolochia_tentaculata	4
Aristolochia_tomentosa	16
Aristolochia_triactina	4
Aristolochia_wardiana	16
