Iteration	Posterior	Likelihood	Prior	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
0	10.1385	0	10.1385	1.51786	0.184907	0.0661047	0.000711226	0.616261	0.093136	0.0388798	0.549834	0.147598	0.2938	0.00876736	0.368217
10	-0.684116	0	-0.684116	2.60012	0.136262	0.444438	0.146276	0.255809	0.0145928	0.00262194	0.340874	0.213552	0.41349	0.0320841	0.159717
20	2.5253	0	2.5253	2.27918	0.0330901	0.20605	0.135924	0.176459	0.300714	0.147762	0.180778	0.273955	0.466446	0.078821	0.802857
30	4.14754	0	4.14754	2.11696	0.128004	0.103396	0.347547	0.00849211	0.143743	0.268818	0.189438	0.295867	0.450278	0.0644165	0.507175
40	0.08763	0	0.08763	2.52295	0.0594939	0.241201	0.414497	0.0163824	0.067211	0.201215	0.310671	0.114573	0.433692	0.141064	0.784395
50	1.92896	0	1.92896	2.33881	0.0637616	0.0369321	0.299927	0.0929237	0.241488	0.264967	0.273086	0.187005	0.397283	0.142626	0.729551
60	10.4349	0	10.4349	1.48822	0.0301447	0.0923823	0.204597	0.0684794	0.180963	0.423434	0.290961	0.119213	0.300237	0.289588	0.210513
70	6.66278	0	6.66278	1.86543	0.0504258	0.191828	0.590468	0.0574573	0.0517607	0.0580598	0.276086	0.0532911	0.439434	0.23119	0.713515
80	-3.01632	0	-3.01632	2.83334	0.0471777	0.215776	0.031816	0.431058	0.127084	0.147088	0.315071	0.0305653	0.403542	0.250821	0.077604
90	6.95709	0	6.95709	1.836	0.0608395	0.0371455	0.208581	0.0123861	0.477971	0.203078	0.41493	0.0167525	0.26488	0.303437	0.0413836
100	7.2454	0	7.2454	1.80717	0.147402	0.00371564	0.00344121	0.367478	0.161325	0.316637	0.409469	0.0217938	0.245751	0.322986	0.2108
110	-2.69586	0	-2.69586	2.8013	0.0363688	0.00286481	0.00210269	0.417552	0.454705	0.0864069	0.530249	0.0295752	0.222098	0.218078	0.483498
120	-0.718896	0	-0.718896	2.6036	0.0292855	0.251022	0.00901043	0.0786747	0.230791	0.401217	0.562932	0.0231862	0.0784879	0.335394	0.428498
130	0.673033	0	0.673033	2.46441	0.0228139	0.197771	0.204404	0.13781	0.222309	0.214892	0.793535	0.0439166	0.0623746	0.100174	0.380186
140	5.59775	0	5.59775	1.97193	0.363624	0.0764464	0.0451499	0.390943	0.0624978	0.0613391	0.759575	0.121912	0.0943017	0.0242121	0.74774
150	2.6512	0	2.6512	2.26659	0.00519548	0.23034	0.276404	0.0844338	0.398216	0.00541196	0.573439	0.177985	0.104674	0.143901	0.688633
160	1.95978	0	1.95978	2.33573	0.164996	0.067734	0.161467	0.321175	0.25786	0.0267676	0.442066	0.126763	0.242854	0.188317	0.408689
170	6.36842	0	6.36842	1.89487	0.00859095	0.0134418	0.209848	0.293621	0.1695	0.304998	0.446036	0.0774139	0.322512	0.154039	0.953004
180	3.50709	0	3.50709	2.181	0.302889	0.00888906	0.268757	0.0411099	0.0167206	0.361634	0.435495	0.106128	0.347845	0.110532	0.526623
190	-1.61026	0	-1.61026	2.69274	0.185748	0.0375492	0.259912	0.179891	0.0919634	0.244936	0.454852	0.0987243	0.287881	0.158543	0.443067
200	4.10061	0	4.10061	2.12165	0.392571	0.00117972	0.277945	0.104898	0.095425	0.127981	0.237795	0.00377364	0.253196	0.505236	0.168806
210	-0.673893	0	-0.673893	2.5991	0.138297	0.000180802	0.0533294	0.0288069	0.430541	0.348845	0.35771	0.0162833	0.294944	0.331062	0.985914
220	6.81597	0	6.81597	1.85011	0.0154488	0.0093448	0.0928126	0.392927	0.259321	0.230146	0.134444	0.290178	0.355273	0.220105	0.714754
230	7.72803	0	7.72803	1.75891	0.417751	0.0180076	0.00846368	0.394623	0.145837	0.0153178	0.184628	0.323439	0.409894	0.082039	0.58031
240	7.70113	0	7.70113	1.7616	0.435983	0.0161652	0.221102	0.244598	0.0728055	0.00934575	0.132072	0.314158	0.335348	0.218423	0.057972
250	2.51824	0	2.51824	2.27989	0.245905	0.187984	0.0140394	0.340455	0.0828721	0.128745	0.136343	0.537674	0.240445	0.0855381	0.50551
260	0.440965	0	0.440965	2.48761	0.34652	0.106572	0.0391416	0.364728	0.0251785	0.117859	0.244557	0.456284	0.235375	0.0637852	0.805506
270	-1.22822	0	-1.22822	2.65453	0.419293	0.108077	0.0410817	0.171183	0.061787	0.198578	0.415539	0.372682	0.0468165	0.164963	0.896679
280	2.02465	0	2.02465	2.32924	0.238402	0.0309821	0.305594	0.256153	0.120618	0.0482505	0.482268	0.279398	0.0352724	0.203061	0.640832
290	0.198577	0	0.198577	2.51185	0.0924719	0.0480283	0.0672715	0.587323	0.126375	0.0785297	0.197129	0.245514	0.00772003	0.549637	0.105932
300	2.39232	0	2.39232	2.29248	0.000893953	0.0108826	0.486091	0.145141	0.344895	0.012096	0.238809	0.31825	0.00502393	0.437918	0.556428
310	-0.12328	0	-0.12328	2.54404	0.000126271	0.197047	0.442189	0.210088	0.00579549	0.144755	0.438703	0.200759	0.0122778	0.34826	0.749761
320	8.6167	0	8.6167	1.67004	0.00925469	0.229685	0.00222967	0.313015	0.0220078	0.423808	0.339196	0.324534	0.00263	0.33364	0.628725
330	7.05089	0	7.05089	1.82662	0.0708274	0.159606	0.000612591	0.0256829	0.5038	0.239471	0.0770972	0.287868	0.100596	0.534438	0.0372314
340	1.33228	0	1.33228	2.39848	0.205732	0.412643	0.0338883	0.0420783	0.288152	0.0175062	0.255546	0.288271	0.024973	0.43121	0.370288
350	4.68939	0	4.68939	2.06277	0.0973841	0.277716	0.111366	0.115069	0.172632	0.225832	0.177175	0.328469	0.188649	0.305707	0.854746
360	-9.70738	0	-9.70738	3.50245	0.233362	0.00467276	0.00379853	0.0220635	0.108025	0.628078	0.0964104	0.288253	0.163353	0.451984	0.897167
370	-4.32138	0	-4.32138	2.96385	0.210154	0.00174411	0.113395	0.199495	0.0912408	0.383971	0.108386	0.264667	0.315012	0.311935	0.481212
380	-5.61369	0	-5.61369	3.09308	0.163671	0.360625	0.0425214	0.306312	0.110183	0.0166871	0.26307	0.334741	0.118641	0.283548	0.60747
390	0.765823	0	0.765823	2.45513	0.0575896	0.245363	0.00108356	0.0636033	0.445234	0.187127	0.235376	0.305983	0.117864	0.340777	0.337572
400	4.02851	0	4.02851	2.12886	0.449755	0.19048	0.0844431	0.0768012	0.0394566	0.159064	0.0699265	0.452208	0.19806	0.279805	0.435307
410	3.13542	0	3.13542	2.21817	0.0878192	0.41117	0.184102	0.0088746	0.228626	0.0794095	0.303197	0.368245	0.2456	0.0829575	0.938476
420	5.42494	0	5.42494	1.98922	0.0162552	0.0400638	0.252263	0.299964	0.0214418	0.370013	0.37201	0.298099	0.245508	0.0843837	0.0624838
430	0.80527	0	0.80527	2.45118	0.00139165	0.237144	0.148629	0.431451	0.0366814	0.144703	0.269946	0.439626	0.23842	0.0520084	0.88053
440	2.18201	0	2.18201	2.31351	0.00221379	0.111739	0.100805	0.394219	0.111729	0.279295	0.265161	0.326967	0.327674	0.0801982	0.489329
450	0.58495	0	0.58495	2.47321	0.0592684	0.0553743	0.163085	0.354736	0.31784	0.0496963	0.258462	0.270349	0.260758	0.210431	0.350682
460	-2.70029	0	-2.70029	2.80174	0.24761	0.152831	0.0601284	0.34675	0.187945	0.00473629	0.390362	0.103279	0.275006	0.231354	0.72023
470	-1.40509	0	-1.40509	2.67222	0.357109	0.0313551	0.0257335	0.12046	0.414361	0.0509816	0.375943	0.0220142	0.295603	0.306439	0.765089
480	5.15942	0	5.15942	2.01577	0.250221	0.00630959	0.0736205	0.0689601	0.0429207	0.557969	0.405444	0.124787	0.252702	0.217067	0.615015
490	2.61436	0	2.61436	2.27027	0.0692996	0.157292	0.419459	0.0847052	0.15874	0.110504	0.52045	0.130656	0.0747605	0.274133	0.427853
500	11.7955	0	11.7955	1.35216	0.0388515	0.228366	0.182319	0.128508	0.373429	0.0485249	0.379809	0.114032	0.258587	0.247572	0.737619
510	1.5305	0	1.5305	2.37866	0.255091	0.126188	0.00289341	0.355548	0.233302	0.0269777	0.518632	0.0103049	0.190571	0.280492	0.761103
520	-6.6797	0	-6.6797	3.19968	0.0374417	0.287827	0.434732	0.123038	0.0794078	0.037554	0.278311	0.0790016	0.102576	0.540112	0.991428
530	-6.67726	0	-6.67726	3.19944	0.00675599	0.249741	0.227672	0.19954	0.299983	0.0163073	0.317039	0.101509	0.183407	0.398046	0.70781
540	5.12468	0	5.12468	2.01924	0.00280517	0.104831	0.133534	0.272486	0.321182	0.165162	0.333608	0.0225613	0.473192	0.170639	0.723172
550	2.89259	0	2.89259	2.24245	0.0645894	0.0174741	0.191911	0.334119	0.0886948	0.303212	0.386382	0.00152219	0.262286	0.34981	0.942092
560	-0.479249	0	-0.479249	2.57963	0.469243	0.0561494	0.0146009	0.120108	0.0599484	0.27995	0.374714	0.00792905	0.212414	0.404943	0.868413
570	0.993624	0	0.993624	2.43235	0.226756	0.0819805	0.0024712	0.462029	0.00447432	0.222289	0.391131	0.150389	0.197648	0.260832	0.919728
580	4.90237	0	4.90237	2.04147	0.231894	0.0081052	0.00024432	0.397953	0.00137517	0.360428	0.338802	0.205286	0.202359	0.253553	0.733377
590	5.62835	0	5.62835	1.96887	0.169779	0.00215234	0.30371	0.0743729	0.0203605	0.429626	0.520738	0.0489271	0.00940661	0.420928	0.348954
600	0.973737	0	0.973737	2.43434	0.302557	0.302574	0.101429	0.223571	0.0472751	0.0225946	0.336204	0.0148977	0.00640096	0.642498	0.781613
610	1.37863	0	1.37863	2.39385	0.155711	0.0937632	0.113601	0.258092	0.280549	0.0982843	0.23382	0.223218	0.000689767	0.542273	0.451914
620	-1.56631	0	-1.56631	2.68834	0.206481	0.171148	0.221578	0.0185531	0.0246302	0.35761	0.390942	0.121383	0.229089	0.258585	0.609322
630	-2.72286	0	-2.72286	2.804	0.216611	0.0552575	0.239443	0.00249903	0.216461	0.269729	0.306672	0.407134	0.156463	0.129731	0.903591
640	2.80729	0	2.80729	2.25098	0.110665	0.307483	0.0121971	0.0166162	0.229747	0.323292	0.220651	0.35272	0.142598	0.284032	0.789368
650	4.98889	0	4.98889	2.03282	0.224026	0.157922	0.132227	0.0237204	0.287369	0.174735	0.464127	0.23068	0.0182156	0.286977	0.586511
660	5.62236	0	5.62236	1.96947	0.262323	0.234026	0.137791	0.120326	0.167578	0.077956	0.578291	0.181447	0.0824487	0.157814	0.154935
670	-0.733656	0	-0.733656	2.60508	0.331323	0.225667	0.0792745	0.178622	0.0267434	0.15837	0.618128	0.220517	0.0636678	0.0976874	0.188555
680	-4.54085	0	-4.54085	2.98579	0.355242	0.259663	0.0189082	0.115953	0.244044	0.00618882	0.3497	0.276196	0.132166	0.241939	0.958525
690	7.51014	0	7.51014	1.7807	0.2551	0.123395	0.0221354	0.0100379	0.475038	0.114293	0.59918	0.0463315	0.0694017	0.285086	0.32023
700	-0.315081	0	-0.315081	2.56322	0.0453357	0.473898	0.00205393	0.00379519	0.341706	0.133212	0.648499	0.144839	0.0134772	0.193184	0.741943
710	-8.84851	0	-8.84851	3.41656	0.550989	0.0997079	0.00175519	0.0507157	0.00332215	0.29351	0.505209	0.355966	0.0542094	0.0846149	0.966702
720	-3.29283	0	-3.29283	2.86099	0.16203	0.365228	0.0222502	0.174717	0.243419	0.0323553	0.320095	0.273326	0.284254	0.122325	0.101821
730	3.77744	0	3.77744	2.15397	0.00809878	0.154106	0.14018	0.149398	0.432546	0.115671	0.275348	0.432477	0.290036	0.00213844	0.258904
740	4.90484	0	4.90484	2.04123	0.0822375	0.308106	0.0791872	0.0750015	0.138934	0.316534	0.328617	0.510129	0.132226	0.0290285	0.410222
750	2.63079	0	2.63079	2.26863	0.00971617	0.0541785	0.0689522	0.13816	0.145705	0.583289	0.208906	0.346694	0.25737	0.18703	0.318369
760	4.74453	0	4.74453	2.05726	0.024353	0.0251502	0.0655118	0.114704	0.575942	0.194339	0.242312	0.14794	0.270181	0.339567	0.0012041
770	8.66138	0	8.66138	1.66557	0.104278	0.0830494	0.183339	0.351012	0.256933	0.0213884	0.070576	0.222534	0.209766	0.497125	0.652688
780	3.90415	0	3.90415	2.14129	0.274458	0.19768	0.194527	0.254573	0.0776996	0.00106151	0.0312497	0.287067	0.350895	0.330788	0.855029
790	0.273605	0	0.273605	2.50435	0.469043	0.0573185	0.0614347	0.184234	0.22774	0.000229629	0.0335948	0.389727	0.414075	0.162603	0.264367
800	1.65501	0	1.65501	2.36621	0.138413	0.186453	0.00763665	0.271881	0.124865	0.27075	0.0215198	0.520128	0.323382	0.134971	0.271347
810	5.85161	0	5.85161	1.94655	0.0770218	0.520413	0.0383636	0.0428494	0.0040699	0.317282	0.0558709	0.515942	0.157471	0.270716	0.79896
820	0.410889	0	0.410889	2.49062	0.150078	0.0865314	0.299849	0.130754	0.27511	0.0576778	0.16417	0.463733	0.007315	0.364782	0.0564251
830	-4.49707	0	-4.49707	2.98142	0.303711	0.0317703	0.179633	0.000131182	0.382481	0.102274	0.39636	0.280771	0.0212777	0.301591	0.452283
840	0.360273	0	0.360273	2.49568	0.246967	0.452254	0.0834983	9.50765e-06	0.0674775	0.149793	0.322971	0.181411	0.191015	0.304602	0.89153
850	9.21914	0	9.21914	1.6098	0.121564	0.154422	0.51306	1.11403e-06	0.0326517	0.178301	0.21115	0.239959	0.205678	0.343213	0.616373
860	10.0764	0	10.0764	1.52407	0.30282	0.307972	0.0290254	0.0276561	0.00390557	0.328621	0.23962	0.246412	0.110486	0.403482	0.632385
870	4.38607	0	4.38607	2.0931	0.0318003	0.196572	0.221198	0.409674	0.101102	0.0396535	0.115222	0.637614	0.135813	0.111351	0.0976574
880	1.97857	0	1.97857	2.33385	0.00210113	0.296862	0.157879	0.397477	0.101034	0.0446459	0.187944	0.592689	0.184129	0.0352385	0.569298
890	1.29553	0	1.29553	2.40216	0.000275206	0.159879	0.158929	0.496978	0.00268684	0.181251	0.374061	0.377903	0.212908	0.0351276	0.188448
900	-3.83684	0	-3.83684	2.91539	0.0515238	0.452926	0.125059	0.176527	0.000464419	0.1935	0.434986	0.183023	0.346567	0.0354248	0.0573373
910	-1.80153	0	-1.80153	2.71186	0.111835	0.0645033	0.348992	0.122135	0.155907	0.196627	0.608757	0.0417721	0.316897	0.0325733	0.752193
920	4.23422	0	4.23422	2.10829	0.0558128	0.25208	0.216922	0.0336176	0.25672	0.184849	0.478874	0.171636	0.297792	0.0516976	0.0568555
930	-0.291306	0	-0.291306	2.56084	0.315281	0.215644	0.00468028	0.0134875	0.327054	0.123853	0.23785	0.448456	0.288556	0.0251377	0.890266
940	3.46932	0	3.46932	2.18478	0.111884	0.0814337	0.48561	0.0882588	0.168475	0.0643391	0.364112	0.386776	0.24706	0.00205223	0.906325
950	4.0516	0	4.0516	2.12655	0.0785263	0.102852	0.0389309	0.158763	0.0767366	0.544191	0.464433	0.204127	0.290106	0.0413338	0.957812
960	-3.33068	0	-3.33068	2.86478	0.066338	0.0866002	0.123966	0.328467	0.16236	0.232269	0.248356	0.332301	0.29053	0.128813	0.621901
970	5.7963	0	5.7963	1.95208	0.0462468	0.0666572	0.212915	0.18843	0.302185	0.183565	0.233384	0.149126	0.417175	0.200315	0.433524
980	8.64042	0	8.64042	1.66767	0.0279817	0.205715	0.0831719	0.162826	0.211305	0.309001	0.201712	0.198288	0.32504	0.27496	0.806056
990	9.16347	0	9.16347	1.61536	0.255081	0.397365	0.119624	0.177857	0.0112058	0.0388687	0.303933	0.204842	0.389221	0.102004	0.16277
1000	7.50829	0	7.50829	1.78088	0.253287	0.0254323	0.167792	0.0144703	0.370392	0.168626	0.408327	0.210725	0.379999	0.000948496	0.819249
1010	6.06529	0	6.06529	1.92518	0.0166824	0.0196429	0.430898	0.0763678	0.32682	0.129589	0.233094	0.165691	0.60066	0.00055544	0.962782
1020	-0.425475	0	-0.425475	2.57426	0.00179385	0.291493	0.0268883	0.202447	0.420483	0.0568944	0.32951	0.215299	0.261616	0.193575	0.980174
1030	-1.37257	0	-1.37257	2.66897	0.0248733	0.654301	0.077855	0.0129282	0.220158	0.00988492	0.344944	0.139539	0.36211	0.153407	0.690816
1040	-6.20577	0	-6.20577	3.15229	0.338714	0.235018	0.0765449	0.0044173	0.264596	0.0807096	0.164838	0.365246	0.284977	0.184939	0.357385
1050	0.477516	0	0.477516	2.48396	0.0538723	0.0117502	0.282783	0.333951	0.312733	0.00491068	0.189704	0.267465	0.245723	0.297108	0.226518
1060	-6.06136	0	-6.06136	3.13785	0.0445738	0.206903	0.199193	0.432508	0.115174	0.00164837	0.48146	0.192159	0.0362635	0.290117	0.61405
1070	3.01408	0	3.01408	2.2303	0.602234	0.237575	0.0109529	0.055089	0.0938919	0.000256397	0.384855	0.111274	0.20986	0.294011	0.742995
1080	3.31442	0	3.31442	2.20027	0.340812	0.209912	0.179653	0.025567	0.00136902	0.242686	0.167984	0.378112	0.139904	0.314	0.559501
1090	4.26889	0	4.26889	2.10482	0.201706	0.0982304	0.0300953	0.438437	2.8053e-05	0.231503	0.166897	0.162007	0.517742	0.153354	0.527597
1100	2.26647	0	2.26647	2.30506	0.202866	0.407985	0.0274929	0.00808679	1.1665e-06	0.353568	0.23511	0.0885754	0.416187	0.260127	0.628993
1110	5.40206	0	5.40206	1.9915	0.615562	0.0444368	0.00751826	0.195077	0.00230003	0.135106	0.336043	0.140386	0.252897	0.270674	0.854436
1120	7.84668	0	7.84668	1.74704	0.209709	0.146638	0.0558701	0.146418	0.201853	0.239512	0.287196	0.028074	0.349842	0.334888	0.652685
1130	0.513516	0	0.513516	2.48036	0.278137	0.0833179	0.221672	0.00443675	0.213232	0.199204	0.255796	0.0789205	0.146516	0.518768	0.132928
1140	5.31174	0	5.31174	2.00054	0.349582	0.0793022	0.0539005	0.0350392	0.32594	0.156236	0.164768	0.100774	0.0843641	0.650095	0.960448
1150	6.57336	0	6.57336	1.87437	0.000725611	0.146487	0.0056892	0.216613	0.292813	0.337673	0.383328	0.379325	0.074841	0.162506	0.844251
1160	-0.714153	0	-0.714153	2.60312	0.00440846	0.310129	0.052313	0.18982	0.218368	0.224962	0.487023	0.291431	0.054569	0.166978	0.261158
1170	5.20575	0	5.20575	2.01113	0.310739	0.155234	0.220775	0.143119	0.0548384	0.115295	0.300971	0.176105	0.25636	0.266564	0.501034
1180	0.39672	0	0.39672	2.49204	0.126715	0.0151133	0.194435	0.0803669	0.0163333	0.567037	0.336517	0.0923703	0.273446	0.297666	0.234997
1190	6.45304	0	6.45304	1.88641	0.27541	0.0446326	0.109084	0.444934	0.00118275	0.124756	0.351188	0.074697	0.536783	0.0373318	0.412531
1200	0.679901	0	0.679901	2.46372	0.118337	0.204455	0.365109	0.0196859	0.056144	0.236269	0.149877	0.14669	0.447117	0.256316	0.916333
1210	3.15582	0	3.15582	2.21613	0.58261	0.209513	0.178401	0.0135377	0.00720528	0.00873345	0.344491	0.198592	0.345861	0.111056	0.118851
