Iteration	Posterior	Likelihood	Prior	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
0	-5095.45	-5119.31	23.8675	0.144958	0.122	0.196924	0.0299146	0.233166	0.261345	0.156651	0.288466	0.203402	0.200253	0.30788	0.000585988
10	-5102.58	-5126.32	23.7391	0.157798	0.158325	0.22966	0.0346216	0.150001	0.239213	0.188179	0.299278	0.220057	0.187864	0.292801	0.0066955
20	-5099.67	-5123.34	23.6692	0.164785	0.162761	0.233916	0.0370898	0.148038	0.261458	0.156737	0.289623	0.210292	0.208825	0.291261	0.0002771
30	-5102.19	-5126.04	23.8499	0.146719	0.183896	0.231803	0.0236457	0.191616	0.246191	0.122847	0.303573	0.200255	0.194988	0.301184	0.00361452
40	-5098.18	-5121.92	23.7381	0.157904	0.188157	0.196415	0.0254483	0.172117	0.26496	0.152902	0.313528	0.1931	0.199103	0.294269	0.000182137
50	-5089.83	-5113.69	23.8593	0.145784	0.15119	0.264892	0.0204485	0.138301	0.279883	0.145286	0.304208	0.206458	0.202575	0.286759	0.00135568
60	-5098.23	-5122.15	23.9136	0.140351	0.205165	0.247109	0.0277486	0.13095	0.291835	0.0971919	0.305554	0.194703	0.201405	0.298337	0.00428118
70	-5096.09	-5119.75	23.6693	0.164783	0.213462	0.202073	0.0223587	0.18388	0.250338	0.127887	0.292051	0.189518	0.214191	0.304239	0.00530027
80	-5096.6	-5120.48	23.8772	0.143989	0.150058	0.284298	0.0209172	0.179432	0.245653	0.119642	0.296766	0.19799	0.208524	0.296719	0.000679267
90	-5090.23	-5114.06	23.8364	0.148074	0.150196	0.223343	0.0249955	0.184631	0.251438	0.165397	0.308424	0.211065	0.202877	0.277635	0.00309512
100	-5101.22	-5125.1	23.8718	0.144526	0.163458	0.194793	0.0452306	0.18659	0.260757	0.149171	0.311635	0.216297	0.199531	0.272537	0.0151086
110	-5094.8	-5118.54	23.7325	0.158462	0.138202	0.163734	0.0351102	0.206466	0.294109	0.162379	0.313941	0.199484	0.210359	0.276215	0.00788844
120	-5097.92	-5121.56	23.6388	0.167827	0.165352	0.226983	0.0340569	0.140268	0.285285	0.148055	0.30676	0.192982	0.204927	0.29533	0.00418263
130	-5095.17	-5119.03	23.8617	0.14554	0.179	0.263883	0.0170627	0.134621	0.266069	0.139364	0.311603	0.200042	0.204794	0.283562	0.00212318
140	-5096.75	-5120.54	23.7845	0.153264	0.160613	0.221686	0.0399176	0.188337	0.271562	0.117885	0.296249	0.20822	0.20594	0.289591	0.00611676
150	-5096.93	-5120.82	23.8821	0.143499	0.156848	0.199091	0.0258702	0.146079	0.308351	0.163761	0.309424	0.199529	0.188189	0.302858	0.00563071
160	-5097.16	-5121.01	23.8569	0.146022	0.168976	0.210369	0.0236364	0.153488	0.323989	0.119542	0.321831	0.190996	0.206168	0.281005	0.00177972
170	-5091.66	-5115.37	23.715	0.160207	0.158976	0.216703	0.0220743	0.163235	0.316603	0.12241	0.309619	0.200855	0.206875	0.282651	0.00467545
180	-5099.64	-5123.44	23.8089	0.150818	0.147651	0.209307	0.0226335	0.115664	0.362676	0.142068	0.301588	0.201569	0.20441	0.292433	0.00390943
190	-5097.68	-5121.43	23.7439	0.157315	0.146691	0.207947	0.0224864	0.180487	0.290677	0.151711	0.296612	0.209098	0.20786	0.28643	0.00349843
200	-5096.89	-5120.74	23.8511	0.146595	0.177563	0.237667	0.0457183	0.185353	0.222109	0.13159	0.30331	0.210638	0.186342	0.29971	0.00257264
210	-5100.35	-5124.21	23.8622	0.145492	0.15785	0.206638	0.0229576	0.162706	0.275332	0.174516	0.289365	0.202599	0.222105	0.285931	0.0112691
220	-5099.22	-5122.86	23.6424	0.167471	0.163521	0.23821	0.0243092	0.166092	0.272703	0.135165	0.293212	0.212474	0.207413	0.286901	0.0115905
230	-5102.62	-5126.38	23.7639	0.155324	0.15131	0.228355	0.0203058	0.170972	0.293537	0.13552	0.319537	0.20813	0.198729	0.273604	0.0159103
240	-5096.03	-5119.85	23.8178	0.149933	0.173001	0.235364	0.0232167	0.180889	0.24545	0.142079	0.319944	0.198207	0.197809	0.28404	0.00504583
250	-5103.37	-5127.04	23.6751	0.164202	0.171901	0.254553	0.0263235	0.131734	0.234716	0.180773	0.314717	0.206781	0.195117	0.283386	0.0110336
260	-5091.88	-5115.76	23.8854	0.143168	0.175385	0.177669	0.0233587	0.180539	0.272584	0.170465	0.303926	0.203062	0.20971	0.283302	0.00428164
270	-5100.27	-5124.01	23.7414	0.157565	0.145693	0.268313	0.0310079	0.17665	0.244621	0.133715	0.306365	0.221531	0.208481	0.263624	0.00822887
280	-5092.44	-5116.27	23.8307	0.148637	0.174007	0.234019	0.0326657	0.136607	0.268649	0.154052	0.302234	0.198533	0.217925	0.281307	0.00382658
290	-5089.96	-5113.66	23.6943	0.162283	0.201605	0.182346	0.030289	0.190947	0.267947	0.126866	0.305878	0.207479	0.197112	0.289531	0.000665067
300	-5100.01	-5123.81	23.7979	0.15192	0.161889	0.241942	0.0284235	0.175015	0.26575	0.12698	0.322214	0.2127	0.199209	0.265877	0.0183838
310	-5095.6	-5119.5	23.8954	0.142174	0.160795	0.210366	0.026779	0.183856	0.285815	0.132388	0.291995	0.207875	0.200123	0.300007	0.000107277
320	-5096.04	-5119.85	23.8122	0.150486	0.194489	0.190125	0.039859	0.170695	0.285595	0.119237	0.321568	0.190165	0.195376	0.292891	0.0179093
330	-5095.65	-5119.45	23.801	0.151612	0.137372	0.2226	0.0404292	0.174459	0.278899	0.146241	0.308618	0.202146	0.193296	0.29594	0.00565449
340	-5101.16	-5125	23.8402	0.14769	0.180599	0.230548	0.0329546	0.1818	0.252974	0.121125	0.327578	0.179355	0.214083	0.278984	0.00262491
350	-5093.01	-5116.92	23.9098	0.140729	0.183534	0.214746	0.0268435	0.165647	0.265072	0.144157	0.311137	0.194604	0.1993	0.294959	0.0140037
360	-5100.81	-5124.44	23.6326	0.168453	0.186507	0.202469	0.0357363	0.144067	0.267479	0.163742	0.312784	0.203044	0.202747	0.281425	0.00458198
370	-5091.53	-5115.37	23.8402	0.147686	0.185728	0.227014	0.0192621	0.169138	0.266362	0.132496	0.31966	0.206788	0.185942	0.287611	0.00873132
380	-5093.04	-5116.73	23.6977	0.161941	0.179036	0.232409	0.0182291	0.160067	0.252078	0.158182	0.314501	0.202889	0.195515	0.287095	0.0103026
390	-5094.84	-5118.86	24.0269	0.129022	0.147325	0.191246	0.0239491	0.200174	0.281592	0.155713	0.311463	0.20467	0.19668	0.287186	0.00298675
400	-5111.45	-5135.14	23.6948	0.162231	0.167424	0.235719	0.041825	0.118915	0.297236	0.13888	0.310075	0.207423	0.201099	0.281403	0.0261133
410	-5097.54	-5121.29	23.7553	0.156183	0.146203	0.242251	0.0365236	0.19805	0.250659	0.126313	0.32051	0.195094	0.191503	0.292894	0.00236353
420	-5094.6	-5118.48	23.886	0.143105	0.128168	0.230274	0.043068	0.224597	0.271354	0.102539	0.302483	0.211474	0.204268	0.281775	0.00227031
430	-5097.47	-5121.33	23.8575	0.145959	0.213668	0.210304	0.0164824	0.15772	0.256256	0.14557	0.316237	0.200349	0.200847	0.282568	0.0101441
440	-5104.9	-5128.65	23.7587	0.155844	0.141427	0.211862	0.0166045	0.158888	0.253748	0.21747	0.326329	0.195077	0.194817	0.283777	0.00668555
450	-5104.53	-5128.33	23.8086	0.150846	0.135985	0.245427	0.0138473	0.201136	0.211612	0.191993	0.306382	0.197244	0.196844	0.29953	0.00668555
460	-5094.1	-5117.99	23.8897	0.142736	0.170352	0.242871	0.022933	0.158565	0.269002	0.136276	0.317639	0.199914	0.196455	0.285992	0.00668555
470	-5093.52	-5117.41	23.8919	0.142522	0.161634	0.240345	0.0224287	0.172517	0.263086	0.139988	0.314296	0.186863	0.195681	0.30316	0.00316146
480	-5102.18	-5126.03	23.8538	0.146327	0.179981	0.239773	0.0446596	0.197339	0.254793	0.0834534	0.318883	0.20531	0.19908	0.276727	0.00157019
490	-5097.76	-5121.52	23.7628	0.155429	0.166017	0.217585	0.0411946	0.201582	0.273193	0.100428	0.30705	0.197691	0.209169	0.28609	0.0100025
500	-5097.79	-5121.61	23.8179	0.149922	0.162679	0.233748	0.0397379	0.17459	0.255378	0.133868	0.320236	0.202078	0.187966	0.28972	0.00581868
510	-5094.84	-5118.71	23.8685	0.144865	0.156844	0.223665	0.0305108	0.226428	0.233485	0.129067	0.312958	0.204377	0.189064	0.2936	0.0184453
520	-5106.14	-5129.94	23.7982	0.151891	0.172679	0.208875	0.0501988	0.221648	0.241188	0.105412	0.311233	0.205958	0.194077	0.288731	0.00119786
530	-5100.33	-5124.12	23.798	0.151911	0.162294	0.195402	0.0457696	0.135807	0.272764	0.187964	0.295377	0.21985	0.20034	0.284433	0.000693393
540	-5098.41	-5122.18	23.7661	0.155097	0.175592	0.211437	0.0249401	0.159817	0.295114	0.133099	0.298897	0.201557	0.194089	0.305457	0.00176118
550	-5098.69	-5122.49	23.7907	0.152638	0.143769	0.208405	0.0265023	0.166286	0.3136	0.141437	0.295407	0.196863	0.204142	0.303588	0.00516486
560	-5099.92	-5123.89	23.9728	0.134433	0.19999	0.2376	0.0253212	0.157385	0.272262	0.107443	0.293083	0.204769	0.205896	0.296252	0.0171035
570	-5097.14	-5120.95	23.804	0.151312	0.19498	0.210945	0.0218768	0.151087	0.284455	0.136657	0.317075	0.196957	0.195283	0.290686	0.0002622
580	-5094.16	-5118.1	23.9394	0.137775	0.159154	0.221397	0.0257599	0.180746	0.302225	0.110718	0.305919	0.204277	0.200711	0.289092	0.0017729
590	-5102.1	-5125.77	23.6676	0.164954	0.209012	0.182862	0.0211706	0.16735	0.279827	0.139779	0.303037	0.205396	0.204963	0.286604	0.00529616
600	-5106.94	-5130.71	23.7725	0.154455	0.189636	0.221953	0.019208	0.236938	0.22817	0.104095	0.293911	0.20211	0.206947	0.297032	0.0150027
610	-5097.49	-5121.32	23.8331	0.148404	0.154619	0.196035	0.0203834	0.193187	0.32879	0.106986	0.312768	0.189934	0.198614	0.298683	0.010998
620	-5104.1	-5127.83	23.7324	0.158473	0.148967	0.204325	0.0438875	0.161114	0.268599	0.173108	0.309605	0.19687	0.205286	0.288239	0.0178394
630	-5096.4	-5120.23	23.8262	0.149088	0.168211	0.227447	0.0201314	0.166796	0.292147	0.125268	0.310663	0.201771	0.197596	0.289969	0.00923793
640	-5093.17	-5116.95	23.7831	0.153396	0.177285	0.226607	0.0161035	0.21555	0.233695	0.130759	0.311191	0.205735	0.193669	0.289406	0.00372982
650	-5099.24	-5123.12	23.8782	0.143891	0.191701	0.191327	0.0305572	0.162341	0.242479	0.181594	0.293977	0.205098	0.198632	0.302293	0.0106443
660	-5103.24	-5127.12	23.8794	0.14377	0.138095	0.242188	0.0252915	0.14359	0.300536	0.150301	0.306104	0.212407	0.188027	0.293461	0.00418646
670	-5095.56	-5119.34	23.7761	0.154099	0.144821	0.231393	0.0363867	0.145243	0.271134	0.171023	0.302076	0.213552	0.189154	0.295219	0.0033163
680	-5094.89	-5118.74	23.8432	0.147394	0.156912	0.218048	0.0317001	0.155441	0.246573	0.191325	0.315076	0.196465	0.205366	0.283092	0.00133679
690	-5090.87	-5114.6	23.7339	0.158315	0.150396	0.202982	0.0303838	0.228079	0.236335	0.151823	0.31384	0.201481	0.196147	0.288532	0.0034995
700	-5096.23	-5119.96	23.7266	0.159052	0.192676	0.216808	0.0286696	0.181857	0.283373	0.0966157	0.29797	0.204613	0.197435	0.299981	0.00962781
710	-5093.64	-5117.45	23.8137	0.150336	0.177703	0.219759	0.0290597	0.203348	0.266138	0.103993	0.312814	0.205899	0.198676	0.282611	0.000930411
720	-5095.54	-5119.28	23.742	0.157508	0.174058	0.202155	0.0230605	0.176924	0.288943	0.134859	0.309725	0.207251	0.196305	0.28672	0.000722433
730	-5098.37	-5122.15	23.7723	0.154481	0.15447	0.221857	0.0257014	0.224162	0.238646	0.135163	0.325204	0.202356	0.196609	0.275831	0.00828083
740	-5097.04	-5120.83	23.7968	0.152028	0.158726	0.22797	0.0264095	0.151818	0.284326	0.150751	0.304236	0.209932	0.183674	0.302158	0.0040792
750	-5099.97	-5123.79	23.8268	0.149032	0.163843	0.25171	0.0249665	0.193353	0.231992	0.134136	0.311005	0.213848	0.197805	0.277342	0.00199483
760	-5097.01	-5120.66	23.6545	0.166257	0.172419	0.206495	0.0207615	0.197456	0.291326	0.111544	0.309873	0.206275	0.188778	0.295075	0.00129152
770	-5094.69	-5118.43	23.7449	0.157221	0.175357	0.190601	0.0163453	0.178077	0.299574	0.140046	0.312743	0.196731	0.206949	0.283577	0.00327977
780	-5098.39	-5122.04	23.6499	0.16672	0.178376	0.18539	0.0254985	0.17336	0.304731	0.132645	0.316315	0.205308	0.19474	0.283637	0.0116596
790	-5089.07	-5112.92	23.842	0.147511	0.158141	0.218988	0.0232796	0.158274	0.309418	0.131898	0.302863	0.191625	0.204483	0.301028	0.00300756
800	-5101.31	-5125.14	23.8295	0.14876	0.168772	0.23371	0.0281973	0.168914	0.266454	0.133952	0.308558	0.193242	0.195047	0.303153	0.0144265
810	-5097.97	-5121.68	23.709	0.160808	0.173626	0.228933	0.0292849	0.131975	0.30487	0.131311	0.306854	0.198838	0.208263	0.286045	0.0144265
820	-5104.85	-5128.59	23.7413	0.157578	0.13518	0.198566	0.0309088	0.229301	0.275083	0.130961	0.323824	0.196062	0.189366	0.290747	0.00115872
830	-5105.5	-5129.32	23.8247	0.149239	0.189587	0.191493	0.0306518	0.184188	0.263854	0.140226	0.297175	0.204689	0.194074	0.304062	0.056048
840	-5089.87	-5113.73	23.857	0.146005	0.188088	0.179438	0.0191144	0.188985	0.261767	0.162607	0.311472	0.198759	0.192987	0.296782	0.00135478
850	-5094.4	-5118.3	23.9053	0.141181	0.153166	0.198548	0.029073	0.236627	0.274759	0.107827	0.322215	0.192057	0.194242	0.291486	0.0122983
860	-5098.95	-5122.86	23.9029	0.141422	0.166725	0.22099	0.0214384	0.196275	0.272063	0.12251	0.308969	0.187909	0.207321	0.2958	0.00221037
870	-5103.21	-5126.96	23.7543	0.156282	0.220731	0.220577	0.0226086	0.166821	0.241248	0.128014	0.304157	0.191874	0.207228	0.29674	0.0159058
880	-5099.51	-5123.27	23.7581	0.155895	0.123986	0.182998	0.0195646	0.18503	0.355873	0.132549	0.305246	0.204122	0.196099	0.294533	0.00401786
890	-5099.2	-5122.94	23.7357	0.15814	0.139068	0.205259	0.0399469	0.207539	0.303117	0.105069	0.307852	0.197767	0.205987	0.288394	0.0180417
900	-5094.07	-5117.86	23.7855	0.153163	0.187147	0.174259	0.0294578	0.173627	0.301629	0.13388	0.295581	0.205722	0.212558	0.286139	0.00334192
910	-5094.11	-5117.92	23.8152	0.15019	0.165923	0.263482	0.0305425	0.153936	0.267421	0.118697	0.316839	0.204016	0.196739	0.282407	0.000209841
920	-5091.82	-5115.65	23.8346	0.14825	0.141504	0.224706	0.0260477	0.158666	0.297527	0.151549	0.319747	0.207778	0.194594	0.27788	0.000964655
930	-5095.6	-5119.41	23.8064	0.15107	0.1451	0.248727	0.0270095	0.14866	0.259844	0.17066	0.303188	0.209528	0.198386	0.288897	0.00484522
940	-5094.96	-5118.83	23.8718	0.144528	0.146139	0.216064	0.0252671	0.153208	0.314279	0.145044	0.296996	0.2084	0.194855	0.299749	0.000997337
950	-5101.34	-5124.97	23.6328	0.168429	0.135328	0.243567	0.026169	0.17271	0.282494	0.139733	0.309934	0.197265	0.200432	0.29237	0.00789414
960	-5099.28	-5123.04	23.7631	0.155403	0.209374	0.200916	0.0434415	0.175728	0.225993	0.144548	0.298096	0.198892	0.191493	0.31152	0.00752886
970	-5103.46	-5127.25	23.7932	0.152388	0.107319	0.211416	0.0457117	0.184911	0.298542	0.152101	0.312927	0.208787	0.198388	0.279898	0.00198092
980	-5096.46	-5120.21	23.7504	0.156674	0.183477	0.224792	0.0442713	0.157496	0.248915	0.141049	0.316365	0.210646	0.193268	0.279722	0.0193186
990	-5098.62	-5122.44	23.8241	0.149295	0.143893	0.212011	0.0208436	0.187679	0.304988	0.130586	0.300123	0.200805	0.204367	0.294705	0.00280413
1000	-5097.28	-5121.18	23.8958	0.142133	0.154368	0.21731	0.0219915	0.209607	0.274918	0.121806	0.329851	0.189795	0.192457	0.287896	0.00433233
1010	-5090.92	-5114.84	23.9211	0.139601	0.154648	0.212566	0.0220314	0.215634	0.273094	0.122027	0.313512	0.197079	0.207686	0.281723	0.0177425
1020	-5098.96	-5122.7	23.7361	0.158102	0.159449	0.230829	0.0322926	0.201599	0.229988	0.145843	0.306271	0.208208	0.202888	0.282633	0.028189
1030	-5093.33	-5117.16	23.8331	0.148402	0.17289	0.200353	0.0208674	0.171735	0.256655	0.1775	0.327385	0.193516	0.188139	0.29096	0.000135725
1040	-5097.13	-5120.87	23.7374	0.157969	0.153988	0.267506	0.027348	0.192731	0.228595	0.129831	0.298606	0.194929	0.205364	0.301101	0.0129031
1050	-5098.93	-5122.72	23.788	0.152912	0.133836	0.235226	0.0237689	0.174487	0.296033	0.136649	0.319437	0.211788	0.188553	0.280221	0.0155994
1060	-5091.67	-5115.5	23.8291	0.148802	0.219323	0.195651	0.0204119	0.166516	0.282511	0.115587	0.304001	0.200406	0.201012	0.294582	0.013829
1070	-5097.62	-5121.41	23.7925	0.152455	0.19334	0.228532	0.0346388	0.192554	0.249042	0.101893	0.303205	0.198916	0.206728	0.291151	0.00604204
