Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-5094.18	-5117.93	23.7441	0.156816	0.212016	0.0199972	0.160065	0.337049	0.114056	0.296768	0.214221	0.216004	0.273006	0.00335733	0.157297
10	-5095.5	-5119.31	23.8066	0.148232	0.20041	0.0283982	0.190565	0.320304	0.112091	0.300248	0.206197	0.195462	0.298094	0.00224731	0.151049
20	-5092.97	-5116.74	23.7701	0.173597	0.177884	0.0245985	0.191595	0.294788	0.137538	0.307782	0.203677	0.208984	0.279557	0.00711404	0.154695
30	-5098.92	-5122.69	23.7707	0.166648	0.219414	0.0236139	0.19156	0.266668	0.132096	0.317618	0.190852	0.205633	0.285897	0.0043305	0.154638
40	-5102.15	-5125.95	23.7996	0.158565	0.262946	0.0328879	0.167736	0.252372	0.125492	0.291614	0.201638	0.211076	0.295672	0.00565801	0.151746
50	-5094.56	-5118.45	23.8914	0.205121	0.213643	0.0271089	0.17262	0.274956	0.106552	0.302638	0.213876	0.195542	0.287944	0.000702265	0.142567
60	-5092.9	-5116.74	23.8387	0.154553	0.200623	0.0320659	0.172491	0.272316	0.167951	0.31482	0.180958	0.19754	0.306682	0.010687	0.147842
70	-5096.75	-5120.55	23.7944	0.125515	0.249674	0.0267804	0.189501	0.291251	0.11728	0.316942	0.199638	0.196287	0.287133	0.00528888	0.152271
80	-5091.88	-5115.76	23.8883	0.195855	0.183419	0.0274574	0.204399	0.281423	0.107446	0.313842	0.191853	0.196491	0.297814	0.00263044	0.142882
90	-5097.6	-5121.31	23.7148	0.15756	0.221341	0.0360013	0.1866	0.282066	0.116432	0.309476	0.199887	0.205642	0.284995	0.016236	0.160235
100	-5107.6	-5131.49	23.8907	0.134543	0.242249	0.0454526	0.199403	0.261787	0.116565	0.316642	0.196129	0.201777	0.285452	0.00613048	0.142642
110	-5100.29	-5124.03	23.7449	0.156248	0.242893	0.0354245	0.186367	0.242997	0.13607	0.321601	0.199916	0.18886	0.289622	0.000932476	0.157217
120	-5093.18	-5117.1	23.9155	0.176679	0.245206	0.0303569	0.208766	0.240931	0.0980619	0.303323	0.204548	0.201788	0.290341	0.00155691	0.140161
130	-5104.21	-5128.06	23.85	0.178786	0.230332	0.0271605	0.144885	0.238148	0.180688	0.304234	0.199163	0.205489	0.291113	0.0243247	0.146707
140	-5105.17	-5128.82	23.6435	0.153855	0.189853	0.024827	0.256147	0.258951	0.116367	0.310466	0.214652	0.197856	0.277026	0.0260534	0.167362
150	-5099.73	-5123.52	23.7951	0.14236	0.262448	0.0237436	0.204106	0.243411	0.123932	0.306005	0.196478	0.202774	0.294742	0.0152845	0.152196
160	-5092.45	-5116.21	23.7576	0.154894	0.212944	0.0258341	0.206642	0.264843	0.134844	0.289374	0.204169	0.206685	0.299773	0.000428599	0.15595
170	-5102.14	-5125.81	23.6692	0.158762	0.218262	0.0245894	0.211802	0.241718	0.144867	0.294065	0.208314	0.188063	0.309557	0.00887796	0.164789
180	-5105.49	-5129.24	23.7496	0.156219	0.242493	0.0418239	0.144761	0.305921	0.108783	0.306785	0.217838	0.200798	0.274579	0.00572871	0.15675
190	-5111.89	-5135.65	23.7589	0.139655	0.204486	0.0373894	0.240485	0.212366	0.165618	0.311658	0.187671	0.203363	0.297307	0.0221828	0.155822
200	-5097.83	-5121.62	23.7893	0.178391	0.179878	0.0371731	0.160166	0.288361	0.156031	0.317088	0.200602	0.203612	0.278699	0.0137568	0.15278
210	-5099.27	-5123.03	23.7514	0.147149	0.261181	0.022038	0.184075	0.274777	0.11078	0.310546	0.216241	0.189691	0.283523	0.0114736	0.156574
220	-5095.68	-5119.52	23.8481	0.12683	0.224954	0.0189949	0.203093	0.271271	0.154857	0.296502	0.209481	0.200395	0.293622	0.018193	0.146899
230	-5098.97	-5122.62	23.6492	0.213466	0.195349	0.0214035	0.192047	0.267333	0.110401	0.30323	0.207397	0.208842	0.280531	0.0339655	0.166789
240	-5092.94	-5116.68	23.7408	0.200168	0.171827	0.0200702	0.182469	0.301725	0.123741	0.305185	0.20574	0.204634	0.28444	0.00740494	0.157625
250	-5093.7	-5117.54	23.8406	0.191598	0.176636	0.026004	0.214254	0.273064	0.118444	0.323734	0.192814	0.200571	0.282881	0.0126864	0.147654
260	-5094.54	-5118.34	23.801	0.14019	0.22442	0.0255583	0.186509	0.299852	0.123472	0.325123	0.188106	0.195147	0.291623	0.00814374	0.151607
270	-5103.18	-5126.91	23.728	0.139942	0.256303	0.0187279	0.142206	0.292195	0.150627	0.310234	0.202232	0.19564	0.291894	0.0191126	0.158906
280	-5105.63	-5129.39	23.7675	0.139475	0.25023	0.0248037	0.18933	0.279879	0.116283	0.3278	0.191316	0.18709	0.293793	0.00887932	0.154956
290	-5100.18	-5124.03	23.8525	0.152102	0.1783	0.0406069	0.192021	0.305948	0.131023	0.308529	0.207576	0.212962	0.270932	0.0252786	0.146455
300	-5087.47	-5111.38	23.9112	0.144835	0.227672	0.0347969	0.189401	0.276131	0.127164	0.308247	0.2067	0.195705	0.289349	0.00733626	0.140589
310	-5096.83	-5120.63	23.8052	0.130324	0.204861	0.0297474	0.22191	0.298837	0.114322	0.311385	0.202897	0.207574	0.278143	0.0216912	0.151193
320	-5095.77	-5119.55	23.7822	0.163134	0.168336	0.0204443	0.229826	0.291602	0.126657	0.314138	0.199191	0.198086	0.288585	0.00120969	0.153488
330	-5101.3	-5125.15	23.8485	0.166894	0.156172	0.0284644	0.21785	0.311644	0.118976	0.327939	0.193995	0.191668	0.286397	0.00184442	0.146855
340	-5097.25	-5121	23.7589	0.177527	0.221542	0.014618	0.168811	0.243783	0.173719	0.314627	0.202682	0.201553	0.281138	0.0017818	0.155816
350	-5104.65	-5128.42	23.7704	0.179498	0.231815	0.0161023	0.122067	0.284205	0.166313	0.319521	0.195528	0.198036	0.286914	0.0104989	0.154674
360	-5103.91	-5127.62	23.7055	0.169699	0.220225	0.0195106	0.201896	0.247049	0.141621	0.292247	0.206172	0.205732	0.295849	0.00774468	0.161158
370	-5109.54	-5133.15	23.6156	0.228719	0.219751	0.0194686	0.192527	0.212247	0.127287	0.30633	0.202628	0.208879	0.282163	0.00354666	0.170145
380	-5096.58	-5120.35	23.7766	0.19056	0.198629	0.0275848	0.162882	0.286476	0.133868	0.299484	0.197957	0.20503	0.297528	0.00574156	0.154053
390	-5100.74	-5124.43	23.6907	0.148918	0.235643	0.0207246	0.182891	0.294196	0.117627	0.31226	0.201368	0.205604	0.280768	0.0243429	0.162639
400	-5099.51	-5123.35	23.8391	0.172871	0.191856	0.017699	0.246218	0.226906	0.14445	0.312561	0.206001	0.194209	0.287228	0.0271289	0.147799
410	-5093.02	-5116.71	23.6938	0.171167	0.238973	0.0329589	0.187119	0.219847	0.149935	0.295481	0.218956	0.195874	0.289689	0.00511125	0.162329
420	-5091.57	-5115.44	23.8622	0.170609	0.238194	0.0208628	0.186509	0.252127	0.131699	0.304742	0.198984	0.20104	0.295235	0.0124401	0.145491
430	-5098.49	-5122.25	23.758	0.147351	0.238221	0.0163623	0.195759	0.255487	0.14682	0.308001	0.209416	0.188034	0.29455	0.0124401	0.155907
440	-5102.89	-5126.67	23.7781	0.136786	0.221141	0.0341247	0.18517	0.286435	0.136343	0.314727	0.194063	0.19663	0.294581	0.0291401	0.153898
450	-5091.4	-5115.38	23.9866	0.175833	0.20724	0.0261339	0.180497	0.261023	0.149273	0.315118	0.203648	0.197772	0.283462	0.00342846	0.133051
460	-5093.63	-5117.39	23.7629	0.184823	0.204594	0.0379379	0.157066	0.304789	0.11079	0.314838	0.203674	0.195262	0.286226	0.00565845	0.155422
470	-5094.76	-5118.47	23.7152	0.163487	0.160577	0.033325	0.207621	0.274411	0.160578	0.318156	0.205993	0.202063	0.273788	0.00376363	0.160192
