Iteration	Posterior	Likelihood	Prior	TL	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar
0	10.3403	0	10.3403	1.49768	0.0481332	0.30629	0.0967303	0.356351	0.110457	0.0820387	0.417174	0.255903	0.105942	0.220981	0.579671
10	1.09598	0	1.09598	2.42211	0.276803	0.224922	0.190025	0.250142	0.052557	0.00555142	0.150883	0.342887	0.333897	0.172334	0.896932
20	-1.34618	0	-1.34618	2.66633	0.213461	0.344074	0.295034	0.0122284	0.13471	0.000493231	0.201673	0.435471	0.104917	0.257939	0.810052
30	2.69703	0	2.69703	2.26201	0.0681075	0.0783132	0.2708	0.00266949	0.0509646	0.529146	0.0441378	0.421762	0.172311	0.361789	0.707722
40	5.00426	0	5.00426	2.03128	0.166072	0.0817489	0.132143	0.00446437	0.206984	0.408588	0.0733456	0.462976	0.131204	0.332474	0.00514996
50	4.10193	0	4.10193	2.12152	0.00757761	0.4126	0.0451753	0.00786563	0.104246	0.422536	0.0622051	0.483865	0.315636	0.138294	0.990644
60	3.43625	0	3.43625	2.18808	0.0236712	0.104451	0.302182	0.0667888	0.109644	0.393262	0.0260845	0.337807	0.463355	0.172753	0.248054
70	0.256103	0	0.256103	2.5061	0.00327697	0.381227	0.337655	0.0331958	0.197635	0.0470101	0.0977484	0.242862	0.512759	0.146631	0.761299
80	0.145691	0	0.145691	2.51714	0.0213485	0.239599	0.0763781	0.129631	0.527171	0.00587329	0.182252	0.292101	0.249828	0.275819	0.901572
90	2.6165	0	2.6165	2.27006	0.229903	0.497547	0.222888	0.0399039	0.00890183	0.000856295	0.316335	0.251436	0.181683	0.250547	0.742216
100	8.87239	0	8.87239	1.64447	0.265455	0.113008	0.29706	0.259539	0.0645163	0.000421134	0.245843	0.297326	0.186452	0.270379	0.406215
110	6.7744	0	6.7744	1.85427	0.148396	0.391471	0.098649	0.249111	0.108281	0.00409121	0.127153	0.294557	0.170937	0.407353	0.324012
120	-4.53884	0	-4.53884	2.98559	0.0314999	0.182961	0.444034	0.301057	0.0352869	0.00516043	0.178208	0.405772	0.0535826	0.362437	0.163844
130	6.31224	0	6.31224	1.90049	0.25968	0.00920608	0.350282	0.371314	0.00619886	0.00332003	0.0922323	0.349303	0.213858	0.344607	0.850214
140	5.30466	0	5.30466	2.00124	0.0151845	0.224146	0.281126	0.181843	0.0306462	0.267053	0.226908	0.23881	0.129662	0.40462	0.557138
150	2.16937	0	2.16937	2.31477	0.00798001	0.08439	0.250769	0.147414	0.466552	0.0428952	0.273385	0.320072	0.0188075	0.387735	0.673786
160	1.5627	0	1.5627	2.37544	0.137176	0.230484	0.357263	0.206479	0.0185594	0.050039	0.281307	0.298369	0.010634	0.40969	0.943846
170	-2.72928	0	-2.72928	2.80464	0.168898	0.19444	0.00911547	0.0739202	0.0337298	0.519896	0.29757	0.121269	0.232267	0.348894	0.417433
180	-2.75401	0	-2.75401	2.80711	0.076929	0.0620447	0.0735878	0.00615731	0.246562	0.534719	0.314274	0.116889	0.231935	0.336902	0.702954
190	11.0134	0	11.0134	1.43037	0.119617	0.00441372	0.295541	0.00901636	0.0828305	0.488582	0.093653	0.257909	0.0257547	0.622684	0.0291987
